Date,DailyRevenue,TotalOrders,TotalCustomers,TotalProductsSold,AvgOrderValue
2010-12-01,35310.51,117,94,17983,19.2218345127926
2010-12-02,37622.61,129,94,20148,19.7286890403776
2010-12-03,22052.02,56,50,10038,21.0019238095238
2010-12-05,28674.45,87,75,14011,11.2360697492163
2010-12-06,25956.32,93,81,13492,13.9325389157273
2010-12-07,23708.17,68,64,10591,22.4296783349101
2010-12-08,34302.19,106,95,18015,18.4024624463519
2010-12-09,29980.92,95,88,12977,17.625467372134
2010-12-10,27072.04,71,53,13250,20.4163197586727
2010-12-12,16749.33,42,41,8632,12.1990750182083
2010-12-13,24700.46,63,58,12840,20.2462786885246
2010-12-14,26155.51,78,71,14890,16.8963242894057
2010-12-15,25483.12,67,64,12907,20.9565131578947
2010-12-16,33411.09,108,97,19464,21.2538740458015
2010-12-17,15597.6,52,49,6566,23.28
2010-12-19,6295.85,18,17,3131,13.5979481641469
2010-12-20,17194.77,49,40,8619,21.628641509434
2010-12-21,11052.84,25,22,5505,30.1167302452316
2010-12-22,4268.78,13,12,2413,20.3275238095238
2010-12-23,5349.96,17,15,3163,16.4109202453988
2011-01-04,11432.69,35,34,6061,16.0346283309958
2011-01-05,22142.87,46,43,13138,22.231797188755
2011-01-06,29025.06,44,44,16334,24.0871867219917
2011-01-07,19082.43,46,45,11421,18.7450196463654
2011-01-09,13956.77,48,48,7506,13.2795147478592
2011-01-10,13440.42,32,31,7612,18.2366621438263
2011-01-11,17251.96,48,44,9484,21.6189974937343
2011-01-12,15219.82,42,42,7570,17.7387179487179
2011-01-13,12984.2,37,37,7222,18.5223965763195
2011-01-14,23420.55,38,37,12186,31.8213994565217
2011-01-16,5940.86,24,21,3179,9.96788590604027
2011-01-17,15078.18,45,44,7822,16.1263957219251
2011-01-18,8886.92,28,27,4973,17.8452208835341
2011-01-19,15322.36,33,33,9894,16.9870953436807
2011-01-20,13692.2,33,29,6563,20.6518853695324
2011-01-21,22216.91,33,31,11172,33.7643009118541
2011-01-23,9553.96,27,27,4563,11.5385990338164
2011-01-24,16425.5,43,42,8648,22.347619047619
2011-01-25,22179.01,58,56,12084,19.7146755555556
2011-01-26,15068.04,52,48,8065,15.8277731092437
2011-01-27,21047.83,50,50,10518,16.7311844197138
2011-01-28,15060.49,36,35,6810,24.3697249190939
2011-01-30,6428.46,23,22,3306,9.31660869565218
2011-01-31,16694.29,54,47,10018,17.2997823834197
2011-02-01,24717.14,57,56,13459,20.8056734006734
2011-02-02,16179.09,55,54,8491,17.0845723336853
2011-02-03,15618.53,43,42,7349,19.1873832923833
2011-02-04,14109.35,45,41,6676,20.3304755043228
2011-02-06,3290.11,11,11,1582,12.4155094339623
2011-02-07,11613.2,35,33,6064,12.6093376764387
2011-02-08,12150.96,36,35,7012,20.4906576728499
2011-02-09,11429,23,22,5941,26.7032710280374
2011-02-10,11275.53,39,38,5946,18.0120287539936
2011-02-11,14331.15,36,33,6445,27.8816147859922
2011-02-13,5447.45,20,20,2570,9.24864176570458
2011-02-14,15843.9,35,35,7967,23.6476119402985
2011-02-15,28961.9,52,46,12218,29.2840242669363
2011-02-16,21086.65,58,52,10789,21.6051741803279
2011-02-17,16474.77,53,48,10504,16.0260408560311
2011-02-18,13355.67,34,33,7720,22.9873838209983
2011-02-20,9138.94,26,26,4536,11.2687299630086
2011-02-21,22809.43,31,30,13319,25.7152536640361
2011-02-22,24004.41,48,45,14284,21.6450946798918
2011-02-23,16818.44,48,45,9181,17.9684188034188
2011-02-24,20122.97,53,52,10318,18.6496478220575
2011-02-25,15931.51,43,40,9060,20.014459798995
2011-02-27,9086.07,32,31,4650,11.6937837837838
2011-02-28,14043.89,50,48,7739,14.9721641791045
2011-03-01,20919.81,54,52,10797,19.6799717779868
2011-03-02,15062.03,39,38,7344,17.657713950762
2011-03-03,23088.1,46,45,10708,27.2265330188679
2011-03-04,14138.62,44,37,8577,16.7320946745562
2011-03-06,9612.8,26,24,4798,11.9562189054726
2011-03-07,14562.53,55,48,7381,13.8822974261201
2011-03-08,21285.36,43,40,11888,18.3811398963731
2011-03-09,17014.27,50,46,9036,17.3615
2011-03-10,18962.37,48,43,10817,21.8209090909091
2011-03-11,14254.98,42,37,7132,23.1036952998379
2011-03-13,3919.93,16,16,2465,7.76223762376238
2011-03-14,20512.24,46,39,10541,19.8762015503876
2011-03-15,13589.87,41,40,7345,16.4925606796117
2011-03-16,18859.54,46,42,9728,23.3699380421314
2011-03-17,17829.95,54,49,10007,18.046508097166
2011-03-18,18576.08,51,48,9250,19.1308753861998
2011-03-20,18027.41,57,56,9647,15.5946453287197
2011-03-21,14939.45,47,46,8758,15.627039748954
2011-03-22,16955.75,40,40,10184,14.3571126164268
2011-03-23,18104.04,58,54,10589,18.5302354145343
2011-03-24,21338.71,65,60,12171,14.7468624740843
2011-03-25,17254.7,50,43,9861,18.3170912951168
2011-03-27,9044.76,31,31,4462,12.9210857142857
2011-03-28,17142.09,56,51,10509,13.6481608280255
2011-03-29,27276.92,50,46,15843,27.3315831663327
2011-03-30,25175.79,65,63,13961,21.0676066945607
2011-03-31,22910.04,58,56,12570,23.2825609756098
2011-04-01,18076.31,60,56,10423,16.8308286778399
2011-04-03,6169.78,19,18,3673,9.02014619883041
2011-04-04,19826,50,46,10610,17.2250217202433
2011-04-05,20720.61,43,42,12082,22.7699010989011
2011-04-06,11830.67,36,35,7292,15.2260875160875
2011-04-07,15457.48,61,57,9101,12.4056821829856
2011-04-08,19163.61,63,61,10479,19.2599095477387
2011-04-10,9375,31,30,5281,10.3248898678414
2011-04-11,17995.74,56,52,11459,16.3004891304348
2011-04-12,21776.89,59,53,12855,20.9594706448508
2011-04-13,19657.23,57,52,11813,20.078886618999
2011-04-14,30941.06,81,74,15788,21.6371048951049
2011-04-15,15971.02,41,40,7522,21.5242857142857
2011-04-17,11860.19,41,38,7320,12.863546637744
2011-04-18,18476.76,60,54,9650,13.6864888888889
2011-04-19,16633.27,52,51,10921,14.7066931918656
2011-04-20,20266.56,61,57,10643,23.1353424657534
2011-04-21,24334.84,69,62,13304,18.2831254695718
2011-04-26,18193.55,57,53,10691,15.5367634500427
2011-04-27,18141.78,56,51,10970,18.2329447236181
2011-04-28,19223.21,53,48,11759,19.9825467775468
2011-05-01,6612.7,18,18,3579,15.0288636363636
2011-05-03,17326.39,54,47,8834,18.2767827004219
2011-05-04,24540.98,61,54,13418,22.2493019038985
2011-05-05,22030.51,78,72,12703,18.9103090128755
2011-05-06,27849.48,76,63,14319,21.9287244094488
2011-05-08,16925.98,62,58,9258,11.9197042253521
2011-05-09,19841.27,61,57,10687,19.1888491295938
2011-05-10,25926.12,65,59,14672,20.6253937947494
2011-05-11,28727.65,70,55,15794,20.2735709244884
2011-05-12,45968.36,79,66,23703,27.8090502117362
2011-05-13,23210.52,65,51,11636,21.7734709193246
2011-05-15,9236.67,30,29,4468,12.4315881561238
2011-05-16,30987.14,62,50,13613,26.78231633535
2011-05-17,34979.84,68,53,16587,28.3467098865478
2011-05-18,28620.02,71,62,13677,26.0182
2011-05-19,29287.6,91,81,14640,19.9371000680735
2011-05-20,20696.44,67,57,11327,22.6934649122807
2011-05-22,21311.43,61,57,11793,14.1416257465163
2011-05-23,22040.51,59,53,11130,17.9775774877651
2011-05-24,18404.84,59,52,9558,17.8168828654405
2011-05-25,17164.86,57,50,9473,17.6957319587629
2011-05-26,20117.24,59,49,10204,24.2084717208183
2011-05-27,16991.6,54,47,9024,20.89987699877
2011-05-29,6881.54,24,20,3334,11.5075919732441
2011-05-31,14901.24,47,46,7211,17.1673271889401
2011-06-01,11944.43,37,35,6949,17.8808832335329
2011-06-02,24738.65,41,33,11420,24.8130892678034
2011-06-03,13318.62,39,36,6375,21.0404739336493
2011-06-05,22515.2,67,62,12210,15.4637362637363
2011-06-06,15599.76,55,53,8838,15.4300296735905
2011-06-07,21419.01,70,67,12818,15.7492720588235
2011-06-08,27129.56,81,71,14683,19.3644254104211
2011-06-09,22041.48,81,75,13134,16.9942020046261
2011-06-10,18048.21,42,41,9453,26.6985355029586
2011-06-12,10936.53,38,38,6261,10.7220882352941
2011-06-13,16914.67,51,49,9372,15.6183471837488
2011-06-14,20250.13,51,42,9482,20.4340363269425
2011-06-15,32168.82,48,41,18853,27.1237942664418
2011-06-16,23392.59,78,72,12761,19.773956043956
2011-06-17,16763.73,44,34,9356,20.2950726392252
2011-06-19,19812.18,60,57,12576,17.7687713004484
2011-06-20,19695.76,55,46,10976,17.6485304659498
2011-06-21,17197.91,48,45,9684,18.3346588486141
2011-06-22,17329.67,56,54,10554,18.4948452508004
2011-06-23,21353.58,69,64,12703,14.0207353906763
2011-06-24,15391.54,44,39,8751,21.8940825035562
2011-06-26,6410.04,25,24,3455,10.1264454976303
2011-06-27,12392.19,35,31,7492,16.5009187749667
2011-06-28,19889.33,44,37,11014,27.973741209564
2011-06-29,11587.64,39,36,6392,21.5784729981378
2011-06-30,20359.27,61,55,11211,17.7810218340611
2011-07-01,11119.55,41,34,6744,14.057585335019
2011-07-03,5625.86,25,24,3040,9.88727592267135
2011-07-04,14214.42,33,29,8029,16.0614915254237
2011-07-05,20321.93,62,56,10673,26.7746113306983
2011-07-06,19941.16,66,61,12828,17.0146416382253
2011-07-07,23440.62,70,64,13264,19.5013477537438
2011-07-08,14791.22,43,40,8475,20.0694979647218
2011-07-10,5785.64,24,20,3626,7.34218274111675
2011-07-11,17795.67,47,43,10556,17.294139941691
2011-07-12,12230.85,43,40,6904,17.5478479196557
2011-07-13,16131.89,55,49,10913,14.0277304347826
2011-07-14,25028.98,67,60,12687,19.0769664634146
2011-07-15,10144.14,35,32,5411,14.8306140350877
2011-07-17,16233,50,45,9067,14.1772925764192
2011-07-18,20693.06,45,44,11420,18.3286625332152
2011-07-19,39550.63,59,55,19292,27.7938369641602
2011-07-20,21913.45,51,45,11543,19.0551739130435
2011-07-21,27108.04,70,59,16642,21.6690967226219
2011-07-22,13941.95,37,34,7457,19.3638194444444
2011-07-24,22425.59,55,53,12053,21.7512997090204
2011-07-25,17547.04,51,48,11694,17.1693150684932
2011-07-26,16013,45,43,10541,19.6478527607362
2011-07-27,19806.03,43,38,11740,24.3616605166052
2011-07-28,27470.5,72,64,15161,22.9878661087866
2011-07-29,16271.44,61,56,10230,17.8414912280702
2011-07-31,16936.8,40,36,10103,14.2087248322148
2011-08-01,16485.79,38,34,8854,16.9606893004115
2011-08-02,16894.59,40,38,10498,19.3523367697595
2011-08-03,24149.16,61,58,13290,18.6913003095975
2011-08-04,36422.79,74,73,21127,26.5665864332604
2011-08-05,17894.68,50,47,10599,14.924670558799
2011-08-07,7114.53,29,28,4388,13.922759295499
2011-08-08,17028.07,36,36,9869,16.1710066476733
2011-08-09,19346.77,39,37,11248,22.97716152019
2011-08-10,16440.13,42,41,10058,23.1877715091678
2011-08-11,30190.57,63,57,18058,23.0462366412214
2011-08-12,15007.16,44,39,8790,21.9724158125915
2011-08-14,5259.24,25,21,2763,10.1334104046243
2011-08-15,16194.15,48,46,9090,18.4024431818182
2011-08-16,15294.26,48,42,9394,16.7516538882804
2011-08-17,24606.75,48,44,12996,18.0931985294118
2011-08-18,40069.78,65,62,21442,28.5397293447293
2011-08-19,16272.01,54,53,9621,20.8081969309463
2011-08-21,12076.99,36,34,6374,11.9692666005946
2011-08-22,24202.02,62,57,13109,19.7567510204082
2011-08-23,20454.16,55,52,11404,15.6377370030581
2011-08-24,26693.01,69,57,17435,18.6143723849372
2011-08-25,20610.56,72,68,12163,18.0004890829694
2011-08-26,17727.56,41,39,11378,21.8051168511685
2011-08-28,10510.9,37,36,6531,9.19588801399825
2011-08-30,8013.55,22,22,3883,21.4840482573727
2011-08-31,17876.26,36,35,9008,24.8972980501393
2011-09-01,28779.26,73,67,17235,21.7038159879336
2011-09-02,19285.18,59,54,10221,18.2624810606061
2011-09-04,16212.18,49,45,9619,12.8668095238095
2011-09-05,29237.26,66,57,16411,22.4729131437356
2011-09-06,23885.31,57,50,12201,23.5323251231527
2011-09-07,20337.24,44,40,12136,21.2732635983264
2011-09-08,20970.55,69,60,12977,15.4650073746313
2011-09-09,23304.15,55,49,12738,18.8544902912621
2011-09-11,31664.4,74,68,17618,16.5263048016701
2011-09-12,26842.96,66,61,15396,19.0646022727273
2011-09-13,35347.72,62,60,19503,19.572380952381
2011-09-14,20964.59,64,57,11935,19.0068812330009
2011-09-15,38355.35,74,66,18963,25.0197977821266
2011-09-16,22291.24,46,44,12168,18.2715081967213
2011-09-18,14877.75,27,25,8083,12.164963205233
2011-09-19,38430.1,67,61,20633,29.3359541984733
2011-09-20,30319.03,62,53,15166,22.542029739777
2011-09-21,32668.62,67,65,17133,20.1409494451295
2011-09-22,50937.66,108,92,29239,21.6203989813243
2011-09-23,28461.27,58,56,17946,15.5866757940854
2011-09-25,30288.21,75,74,18066,16.0594962884411
2011-09-26,26382.64,64,61,13977,17.9229891304348
2011-09-27,26383.39,73,66,15084,20.0329460895976
2011-09-28,32517.84,78,70,18700,15.9950024594196
2011-09-29,42332.82,102,92,24623,19.4098211829436
2011-09-30,31767.74,65,58,16213,22.7074624731951
2011-10-02,10880.4,33,32,5785,8.05358993338268
2011-10-03,44725.17,60,46,18879,26.6697495527728
2011-10-04,31790.77,71,63,17010,16.1785089058524
2011-10-05,47133.76,88,80,25009,23.6377933801404
2011-10-06,44344.24,115,98,24237,17.5969206349206
2011-10-07,33297.8,83,74,19038,17.940625
2011-10-09,11273.75,38,35,6627,9.61104006820119
2011-10-10,37659.06,88,81,19899,14.4287586206897
2011-10-11,34852.65,76,68,19505,20.1693576388889
2011-10-12,25928.99,80,71,15254,18.7212924187726
2011-10-13,29064.7,73,67,15795,15.5675950723085
2011-10-14,28907.89,66,58,15007,20.2294541637509
2011-10-16,20626.81,33,31,7695,17.2033444537114
2011-10-17,36207.67,82,74,19745,16.0922977777778
2011-10-18,33655.56,74,71,22998,16.9378761952693
2011-10-19,27742.98,72,68,15257,16.0178868360277
2011-10-20,46783.16,82,74,24550,22.0571239981141
2011-10-21,29839.52,60,55,14928,23.7009690230342
2011-10-23,11853.03,41,39,6593,7.22305301645338
2011-10-24,30277.49,70,60,17348,17.1059265536723
2011-10-25,29455.14,69,62,19995,14.7055117324014
2011-10-26,25068.57,88,74,13949,15.4553452527744
2011-10-27,36451.82,99,88,20528,16.8914828544949
2011-10-28,29337.13,63,58,15264,21.6670088626293
2011-10-30,32882.83,96,88,18641,11.8710577617329
2011-10-31,29203.33,62,60,14114,16.5270684776457
2011-11-01,26886,75,73,14939,16.1477477477477
2011-11-02,32732.87,76,74,17938,19.507073897497
2011-11-03,36990.26,96,83,18390,20.1581798365123
2011-11-04,44381.12,83,70,24703,19.1793949870354
2011-11-06,40455.1,99,87,21702,12.3188489646772
2011-11-07,26220.23,87,78,13927,15.7289922015597
2011-11-08,35717.85,97,93,19882,16.2649590163934
2011-11-09,45369.59,115,99,25753,22.0454761904762
2011-11-10,57577.33,122,110,29116,19.2695214190094
2011-11-11,34658.57,90,85,21628,15.00370995671
2011-11-13,26484.88,81,74,17100,10.1280611854685
2011-11-14,47867.8,104,93,25676,17.4001454016721
2011-11-15,35876.58,101,92,19310,17.2732691381801
2011-11-16,42844.48,119,106,23832,16.4092225201072
2011-11-17,49077.01,131,121,26363,17.1898458844133
2011-11-18,32944.88,101,96,17099,16.1257366617719
2011-11-20,28670.47,97,91,16964,9.7353039049236
2011-11-21,37717.39,95,84,21074,16.8531680071492
2011-11-22,40366.9,125,116,23611,15.0791557713859
2011-11-23,55954.34,125,105,27359,18.1375494327391
2011-11-24,35126.77,107,97,19321,15.2526139817629
2011-11-25,22957.17,73,69,12160,14.3124501246883
2011-11-27,16232.78,56,51,9631,7.04242082429501
2011-11-28,40215.27,107,94,21919,15.4317996930161
2011-11-29,40217.18,124,108,20274,15.5039244410177
2011-11-30,39576.59,97,91,21446,19.2868372319688
2011-12-01,39415.53,116,109,20595,19.2270878048781
2011-12-02,34066.58,109,92,18227,18.1301649813731
2011-12-04,18939.22,62,58,10454,10.4290859030837
2011-12-05,45871.62,113,104,26543,14.4250377358491
2011-12-06,38291.48,110,103,21772,16.021539748954
2011-12-07,45489.49,98,90,26417,22.5084067293419
2011-12-08,35756.8,110,103,19482,14.917313308302
2011-12-09,14788.61,39,33,8131,25.1506972789116
